,price,bed,bath,feet,address,new_flag,link,company,original_str
12,535000,2,2,,"120-37 193rd Street,Saint Albans, NY 11412",True,https://www.trulia.com/p/ny/saint-albans/120-37-193rd-st-saint-albans-ny-11412--2397800497,POWER MOVE REALTY,"NEW - 5 HRS AGO
$535,000
2bd
2ba
120-37 193rd Street,
Saint Albans, NY 11412
LISTING BY: POWER MOVE REALTY"
13,1050000,2,1,,"229 E 79th St #5C,New York, NY 10075",True,https://www.trulia.com/p/ny/new-york/229-e-79th-st-5c-new-york-ny-10075--2332714012,DOUGLAS ELLIMAN,"NEW - 11 HRS AGO
$1,050,000
2bd
1ba
229 E 79th St #5C,
New York, NY 10075
LISTING BY: DOUGLAS ELLIMAN"
14,850000,1,1,,"530 Grand St #D11A,New York, NY 10002",True,https://www.trulia.com/p/ny/new-york/530-grand-st-d11a-new-york-ny-10002--2174196779,NEW YORK RESIDENCE,"NEW - 11 HRS AGO
$850,000
1bd
1ba
530 Grand St #D11A,
New York, NY 10002
LISTING BY: NEW YORK RESIDENCE"
15,588000,2,1,1100,"7901 4th Ave #F20,Brooklyn, NY 11209",True,https://www.trulia.com/p/ny/brooklyn/7901-4th-ave-f20-brooklyn-ny-11209--2192144284,DORSA GROUP,"NEW
OPEN SUN, 1:30-2:30PM
$588,000
2bd
1ba
1,100 sqft
7901 4th Ave #F20,
Brooklyn, NY 11209
LISTING BY: DORSA GROUP"
16,510000,1,1,489,"764 Saint Johns Pl #2A,Brooklyn, NY 11216",True,https://www.trulia.com/p/ny/brooklyn/764-saint-johns-pl-2a-brooklyn-ny-11216--2174113854,DOUGLAS ELLIMAN,"NEW
OPEN SUN, 12-1PM
$510,000
1bd
1ba
489 sqft
764 Saint Johns Pl #2A,
Brooklyn, NY 11216
LISTING BY: DOUGLAS ELLIMAN"
17,595000,0,1,515,"88 Greenwich St #411,New York, NY 10006",True,https://www.trulia.com/p/ny/new-york/88-greenwich-st-411-new-york-ny-10006--2008561298,COMPASS,"NEW
OPEN SUN, 2-3PM
$595,000
Studio
1ba
515 sqft
88 Greenwich St #411,
New York, NY 10006
LISTING BY: COMPASS"
18,995000,1,1,,"45 Gramercy Park N #16D,New York, NY 10010",True,https://www.trulia.com/p/ny/new-york/45-gramercy-park-n-16d-new-york-ny-10010--2345976231,COMPASS,"NEW - 13 HRS AGO
$995,000
1bd
1ba
45 Gramercy Park N #16D,
New York, NY 10010
LISTING BY: COMPASS"
19,4395000,3,4,2500,"123 Chambers St #6,New York, NY 10007",True,https://www.trulia.com/p/ny/new-york/123-chambers-st-6-new-york-ny-10007--2008564741,LESLIE J. GARFIELD,"NEW
OPEN SUN, 1-2PM
$4,395,000
3bd
4ba
2,500 sqft
123 Chambers St #6,
New York, NY 10007
LISTING BY: LESLIE J. GARFIELD"
20,2595000,2,2,1256,"540 W 49th St #8S,New York, NY 10019",True,https://www.trulia.com/p/ny/new-york/540-w-49th-st-8s-new-york-ny-10019--2325133531,COMPASS,"NEW
OPEN SUN, 12-1:30PM
$2,595,000
2bd
2ba
1,256 sqft
540 W 49th St #8S,
New York, NY 10019
LISTING BY: COMPASS"
21,2890000,2,13,1373,"50 Riverside Blvd #7E,New York, NY 10069",True,https://www.trulia.com/p/ny/new-york/50-riverside-blvd-7e-new-york-ny-10069--2008708395,DOUGLAS ELLIMAN,"NEW
OPEN SAT, 11-12PM
$2,890,000
2bd
13ba
1,373 sqft
50 Riverside Blvd #7E,
New York, NY 10069
LISTING BY: DOUGLAS ELLIMAN"
22,1425000,11,6,4800,"43-15 Judge St #6,Elmhurst, NY 11373",True,https://www.trulia.com/p/ny/elmhurst/43-15-judge-st-6-elmhurst-ny-11373--2625419135,EAST COAST REALTORS INC.,"NEW - 14 HRS AGO
$1,425,000
11bd
6ba
4,800 sqft
43-15 Judge St #6,
Elmhurst, NY 11373
LISTING BY: EAST COAST REALTORS INC."
23,2999995,3,3,1737,"200 E 61st St #19DE,New York, NY 10065",True,https://www.trulia.com/p/ny/new-york/200-e-61st-st-19de-new-york-ny-10065--2325935849,DOUGLAS ELLIMAN,"NEW
OPEN SAT, 12-2PM
$2,999,995
3bd
3ba
1,737 sqft
200 E 61st St #19DE,
New York, NY 10065
LISTING BY: DOUGLAS ELLIMAN"
24,168000,0,1,850,"7281 113th St #5,Forest Hills, NY 11375",True,https://www.trulia.com/p/ny/forest-hills/7281-113th-st-5-forest-hills-ny-11375--2172622870,CENTURY HOMES REALTY GROUP LLC,"NEW - 14 HRS AGO
$168,000
Studio
1ba
850 sqft
7281 113th St #5,
Forest Hills, NY 11375
LISTING BY: CENTURY HOMES REALTY GROUP LLC"
25,4750000,6,5,5700,"563 6th Ave,Brooklyn, NY 11215",True,https://www.trulia.com/p/ny/brooklyn/563-6th-ave-brooklyn-ny-11215--160522,PROSPECT PARK REALTY ADVISOR,"NEW - 14 HRS AGO
$4,750,000
6bd
5ba
5,700 sqft
563 6th Ave,
Brooklyn, NY 11215
LISTING BY: PROSPECT PARK REALTY ADVISOR"
26,500000,1,1,325000,"130 Saint Edwards St #9C,Brooklyn, NY 11201",True,https://www.trulia.com/p/ny/brooklyn/130-saint-edwards-st-9c-brooklyn-ny-11201--2467479701,KELLER WILLIAMS REALTY EMPIRE,"NEW
OPEN SUN, 11:30-1:30PM
3.02 ACRES
$500,000
1bd
1ba
325,000 sqft (on 3.02 acres)
130 Saint Edwards St #9C,
Brooklyn, NY 11201
LISTING BY: KELLER WILLIAMS REALTY EMPIRE"
27,1049000,3,2,1192,"182 Minna St #3B,Brooklyn, NY 11218",True,https://www.trulia.com/p/ny/brooklyn/182-minna-st-3b-brooklyn-ny-11218--2625418994,DANIEL GALE SOTHEBY'S INTERNATIONAL REALTY,"NEW - 14 HRS AGO
$1,049,000
3bd
2ba
1,192 sqft
182 Minna St #3B,
Brooklyn, NY 11218
LISTING BY: DANIEL GALE SOTHEBY'S INTERNATIONAL REALTY"
28,5490000,4,6,6936,"99 Buttonwood Rd,Staten Island, NY 10304",True,https://www.trulia.com/p/ny/staten-island/99-buttonwood-rd-staten-island-ny-10304--2008755628,"NEUHAUS REALTY, INC.","NEW - 15 HRS AGO
0.4 ACRES
$5,490,000
4bd
6ba
6,936 sqft (on 0.40 acres)
99 Buttonwood Rd,
Staten Island, NY 10304
LISTING BY: NEUHAUS REALTY, INC."
29,1888000,7,4,2596,"1149 74th St,Brooklyn, NY 11228",True,https://www.trulia.com/p/ny/brooklyn/1149-74th-st-brooklyn-ny-11228--316013,REMAX REAL ESTATE PROFESSIONALS,"NEW - 15 HRS AGO
$1,888,000
7bd
4ba
2,596 sqft
1149 74th St,
Brooklyn, NY 11228
LISTING BY: REMAX REAL ESTATE PROFESSIONALS"
30,800000,1,1,668,"476 Union Ave #2A,Brooklyn, NY 11211",True,https://www.trulia.com/p/ny/brooklyn/476-union-ave-2a-brooklyn-ny-11211--2345331225,COMPASS,"NEW
OPEN SUN, 11:30-1:30PM
$800,000
1bd
1ba
668 sqft
476 Union Ave #2A,
Brooklyn, NY 11211
LISTING BY: COMPASS"
31,695000,0,1,441,"75 Wall St #33L,New York, NY 10005",True,https://www.trulia.com/p/ny/new-york/75-wall-st-33l-new-york-ny-10005--2008557634,PLATINUM PROPERTIES,"NEW
OPEN SAT, 1-2PM
$695,000
Studio
1ba
441 sqft
75 Wall St #33L,
New York, NY 10005
LISTING BY: PLATINUM PROPERTIES"
32,725000,1,1,700,"100 Beekman St #16B,New York, NY 10038",True,https://www.trulia.com/p/ny/new-york/100-beekman-st-16b-new-york-ny-10038--2346027103,BRIDGE PROPERTY GROUP LLC,"NEW
OPEN FRI, 12-6PM
$725,000
1bd
1ba
700 sqft
100 Beekman St #16B,
New York, NY 10038
LISTING BY: BRIDGE PROPERTY GROUP LLC"
33,365000,1,1,,"3114 Crescent St #7A,Astoria, NY 11106",True,https://www.trulia.com/p/ny/astoria/3114-crescent-st-7a-astoria-ny-11106--2295830954,NATIVE REAL ESTATE LLC,"NEW - 15 HRS AGO
$365,000
1bd
1ba
3114 Crescent St #7A,
Astoria, NY 11106
LISTING BY: NATIVE REAL ESTATE LLC"
34,5750000,4,4,4605,"75 2nd Pl,Brooklyn, NY 11231",True,https://www.trulia.com/p/ny/brooklyn/75-2nd-pl-brooklyn-ny-11231--1004306517,BROWNSTONE REAL ESTATE,"NEW - 16 HRS AGO
$5,750,000
4bd
4ba
4,605 sqft
75 2nd Pl,
Brooklyn, NY 11231
LISTING BY: BROWNSTONE REAL ESTATE"
35,1180000,4,3,,"2019 W 12th St #2,Brooklyn, NY 11223",True,https://www.trulia.com/p/ny/brooklyn/2019-w-12th-st-2-brooklyn-ny-11223--2332299200,PROBASE REAL ESTATE,"NEW
OPEN SUN, 1-3PM
$1,180,000
4bd
3ba
2019 W 12th St #2,
Brooklyn, NY 11223
LISTING BY: PROBASE REAL ESTATE"
36,289000,0,,2400,"633 Mead St,Bronx, NY 10460",True,https://www.trulia.com/home/633-Mead-St-Bronx-NY-10460-29812743,COUNTRYWIDE REAL ESTATE INC,"NEW - 16 HRS AGO
$289,000
Studio
2,400 sqft
633 Mead St,
Bronx, NY 10460
LISTING BY: COUNTRYWIDE REAL ESTATE INC"
37,1200000,0,,3600,"609 E 95th St,Brooklyn, NY 11236",True,https://www.trulia.com/p/ny/brooklyn/609-e-95th-st-brooklyn-ny-11236--2089036730,ENGLISH R BRENT,"NEW - 16 HRS AGO
© Google
$1,200,000
Studio
3,600 sqft
609 E 95th St,
Brooklyn, NY 11236
LISTING BY: ENGLISH R BRENT"
38,725000,3,2,1900,"166-25 Powells Cove Boulevard UNIT 6F,Whitestone, NY 11357",True,https://www.trulia.com/p/ny/whitestone/166-25-powells-cove-blvd-6f-whitestone-ny-11357--2397237727,REALTY ONE GROUP DYNASTY,"NEW - 1 HR AGO
$725,000
3bd
2ba
1,900 sqft
166-25 Powells Cove Boulevard UNIT 6F,
Whitestone, NY 11357
LISTING BY: REALTY ONE GROUP DYNASTY"
39,799000,3,4,2400,"217 Freeborn St,Staten Island, NY 10306",True,https://www.trulia.com/p/ny/staten-island/217-freeborn-st-staten-island-ny-10306--2008775430,RE/MAX EDGE,"NEW
OPEN SUN, 11-1PM
$799,000
3bd
4ba
2,400 sqft
217 Freeborn St,
Staten Island, NY 10306
LISTING BY: RE/MAX EDGE"
0,947000,3,2,1624,"114-15 115th Street,South Ozone Park, NY 11420",True,https://www.trulia.com/p/ny/south-ozone-park/114-15-115th-st-south-ozone-park-ny-11420--2395595726,R NEW YORK,"NEW - 12 HRS AGO
$947,000
3bd
2ba
1,624 sqft
114-15 115th Street,
South Ozone Park, NY 11420
LISTING BY: R NEW YORK"
1,749000,1,1,,"16 W 16th St #7GS,New York, NY 10011",True,https://www.trulia.com/p/ny/new-york/16-w-16th-st-7gs-new-york-ny-10011--2191406183,DOUGLAS ELLIMAN,"NEW
OPEN SUN, 12-2PM
$749,000
1bd
1ba
16 W 16th St #7GS,
New York, NY 10011
LISTING BY: DOUGLAS ELLIMAN"
2,1295000,2,2,1400,"415 E 52nd St #15CC,New York, NY 10022",True,https://www.trulia.com/p/ny/new-york/415-e-52nd-st-15cc-new-york-ny-10022--2478956819,BROWN HARRIS STEVENS,"NEW
OPEN SUN, 12-2PM
$1,295,000
2bd
2ba
1,400 sqft
415 E 52nd St #15CC,
New York, NY 10022
LISTING BY: BROWN HARRIS STEVENS"
3,399000,2,1,,"1020 Grand Concourse #11V,Bronx, NY 10451",True,https://www.trulia.com/p/ny/bronx/1020-grand-concourse-11v-bronx-ny-10451--2333943536,BANK NEARY,"NEW
OPEN SUN, 12-2PM
$399,000
2bd
1ba
1020 Grand Concourse #11V,
Bronx, NY 10451
LISTING BY: BANK NEARY"
4,289000,0,1,,"1020 Grand Concourse #18T,Bronx, NY 10451",True,https://www.trulia.com/p/ny/bronx/1020-grand-concourse-18t-bronx-ny-10451--2345483807,BANK NEARY,"NEW
OPEN SUN, 12-2PM
© Google
$289,000
Studio
1ba
1020 Grand Concourse #18T,
Bronx, NY 10451
LISTING BY: BANK NEARY"
5,648000,2,2,1185,"76-12 35th Ave #5L,Jackson Heights, NY 11372",True,https://www.trulia.com/p/ny/jackson-heights/76-12-35th-ave-5l-jackson-heights-ny-11372--2398366071,CORE,"NEW - 17 HRS AGO
$648,000
2bd
2ba
1,185 sqft
76-12 35th Ave #5L,
Jackson Heights, NY 11372
LISTING BY: CORE"
6,369000,0,1,,"233 E 69th St #8F,New York, NY 10021",True,https://www.trulia.com/p/ny/new-york/233-e-69th-st-8f-new-york-ny-10021--2172287049,ARGO RESIDENTIAL,"NEW - 17 HRS AGO
$369,000
Studio
1ba
233 E 69th St #8F,
New York, NY 10021
LISTING BY: ARGO RESIDENTIAL"
7,625000,0,1,,"150 W End Ave #27K,New York, NY 10023",True,https://www.trulia.com/p/ny/new-york/150-w-end-ave-27k-new-york-ny-10023--2345995435,THE AGENCY,"NEW
OPEN SUN, 11-1PM
$625,000
Studio
1ba
150 W End Ave #27K,
New York, NY 10023
LISTING BY: THE AGENCY"
8,569000,3,2,,"94-11 60th Avenue UNIT 3J,Elmhurst, NY 11373",True,https://www.trulia.com/p/ny/elmhurst/94-11-60th-ave-3j-elmhurst-ny-11373--2575912078,LUCKY REAL ESTATE LLC,"NEW
$569,000
3bd
2ba
94-11 60th Avenue UNIT 3J,
Elmhurst, NY 11373
LISTING BY: LUCKY REAL ESTATE LLC"
9,298000,0,1,,"5900 Arlington Ave #8R,Bronx, NY 10471",True,https://www.trulia.com/p/ny/bronx/5900-arlington-ave-8r-bronx-ny-10471--2478265690,ARGO RESIDENTIAL,"NEW - 17 HRS AGO
$298,000
Studio
1ba
5900 Arlington Ave #8R,
Bronx, NY 10471
LISTING BY: ARGO RESIDENTIAL"
10,1558000,2,2,,"33-66 Farrington Street UNIT 13A,Flushing, NY 11354",True,https://www.trulia.com/p/ny/flushing/33-66-farrington-st-13a-flushing-ny-11354--2625420758,EAST COAST REALTORS INC,"NEW - 12 HRS AGO
NEW CONSTRUCTION
© Google
$1,558,000
2bd
2ba
33-66 Farrington Street UNIT 13A,
Flushing, NY 11354
LISTING BY: EAST COAST REALTORS INC"
11,770000,3,2,,"70-03 52 Avenue,Flushing, NY 11378",True,https://www.trulia.com/p/ny/flushing/7003-52nd-ave-flushing-ny-11378--472869,O KANE REALTY,"NEW - 12 HRS AGO
$770,000
3bd
2ba
70-03 52 Avenue,
Flushing, NY 11378
LISTING BY: O KANE REALTY"
12,747000,4,2,1575,"158 Ditmars St,Bronx, NY 10464",True,https://www.trulia.com/p/ny/bronx/158-ditmars-st-bronx-ny-10464--2008927065,R NEW YORK,"NEW - 17 HRS AGO
$747,000
4bd
2ba
1,575 sqft
158 Ditmars St,
Bronx, NY 10464
LISTING BY: R NEW YORK"
13,799000,0,1,,"16 W 16th St #2,New York, NY 10011",True,https://www.trulia.com/p/ny/new-york/16-w-16th-st-2-new-york-ny-10011--2172727995,DOUGLAS ELLIMAN,"NEW
OPEN SUN, 12-2PM
$799,000
Studio
1ba
16 W 16th St #2,
New York, NY 10011
LISTING BY: DOUGLAS ELLIMAN"
14,2349000,3,3,1592,"100 Jay St #23H,Brooklyn, NY 11201",True,https://www.trulia.com/p/ny/brooklyn/100-jay-st-23h-brooklyn-ny-11201--2009526316,SERHANT.,"NEW
OPEN SUN, 11-12:30PM
$2,349,000
3bd
3ba
1,592 sqft
100 Jay St #23H,
Brooklyn, NY 11201
LISTING BY: SERHANT."
15,2300000,6,5,2868,"125 N Bay 10th St,Brooklyn, NY 11228",True,https://www.trulia.com/p/ny/brooklyn/125-n-bay-10th-st-brooklyn-ny-11228--2625412913,BEN BAY REALTY CO,"NEW - 18 HRS AGO
$2,300,000
6bd
5ba
2,868 sqft
125 N Bay 10th St,
Brooklyn, NY 11228
LISTING BY: BEN BAY REALTY CO"
16,2300000,6,5,2868,"123 Bay 10th St,Brooklyn, NY 11228",True,https://www.trulia.com/p/ny/brooklyn/123-bay-10th-st-brooklyn-ny-11228--1008229843,BEN BAY REALTY CO,"NEW - 18 HRS AGO
$2,300,000
6bd
5ba
2,868 sqft
123 Bay 10th St,
Brooklyn, NY 11228
LISTING BY: BEN BAY REALTY CO"
17,550000,2,2,918,"84-10 101 Street UNIT 2E,Richmond Hill, NY 11418",True,https://www.trulia.com/p/ny/richmond-hill/84-10-101st-st-2e-richmond-hill-ny-11418--2397145407,HALO REALTY PROPERTIES LLC,"NEW
OPEN SAT, 11-2PM
$550,000
2bd
2ba
918 sqft
84-10 101 Street UNIT 2E,
Richmond Hill, NY 11418
LISTING BY: HALO REALTY PROPERTIES LLC"
18,888168,3,2,1786,"2327 E 18th St,Brooklyn, NY 11229",True,https://www.trulia.com/p/ny/brooklyn/2327-e-18th-st-brooklyn-ny-11229--2089009572,PRIDE ESTATES,"NEW - 18 HRS AGO
$888,168
3bd
2ba
1,786 sqft
2327 E 18th St,
Brooklyn, NY 11229
LISTING BY: PRIDE ESTATES"
19,699900,2,2,1056,"939 E 43rd St,Brooklyn, NY 11210",True,https://www.trulia.com/p/ny/brooklyn/939-e-43rd-st-brooklyn-ny-11210--2088988237,EXIT ALL SEASONS REALTY,"NEW
OPEN SAT, 11-1PM
$699,900
2bd
2ba
1,056 sqft
939 E 43rd St,
Brooklyn, NY 11210
LISTING BY: EXIT ALL SEASONS REALTY"
20,950000,1,1,685,"225 Rector Pl #9D,New York, NY 10280",True,https://www.trulia.com/p/ny/new-york/225-rector-pl-9d-new-york-ny-10280--2008716218,PD PROPERTIES LLC,"NEW - 18 HRS AGO
$950,000
1bd
1ba
685 sqft
225 Rector Pl #9D,
New York, NY 10280
LISTING BY: PD PROPERTIES LLC"
21,3350000,3,3,1980,"520 W 19th St #5C,New York, NY 10011",True,https://www.trulia.com/p/ny/new-york/520-w-19th-st-5c-new-york-ny-10011--2088827172,COMPASS,"NEW - 18 HRS AGO
$3,350,000
3bd
3ba
1,980 sqft
520 W 19th St #5C,
New York, NY 10011
LISTING BY: COMPASS"
22,365000,2,1,963,"825 Morrison Ave #10L,Bronx, NY 10473",True,https://www.trulia.com/p/ny/bronx/825-morrison-ave-10l-bronx-ny-10473--2307422989,COMPASS,"NEW - 18 HRS AGO
$365,000
2bd
1ba
963 sqft
825 Morrison Ave #10L,
Bronx, NY 10473
LISTING BY: COMPASS"
23,1299000,3,2,,"222 E 82nd St #2C,New York, NY 10028",True,https://www.trulia.com/p/ny/new-york/222-e-82nd-st-2c-new-york-ny-10028--2478589582,BOND NEW YORK,"NEW
OPEN SUN, 12-2PM
$1,299,000
3bd
2ba
222 E 82nd St #2C,
New York, NY 10028
LISTING BY: BOND NEW YORK"
24,824000,2,2,,"110-11 Queens Blvd #20K,Forest Hills, NY 11375",True,https://www.trulia.com/p/ny/forest-hills/110-11-queens-blvd-20k-forest-hills-ny-11375--2182708770,BENJAMIN REALTY SINCE 1980,"NEW - 18 HRS AGO
$824,000
2bd
2ba
110-11 Queens Blvd #20K,
Forest Hills, NY 11375
LISTING BY: BENJAMIN REALTY SINCE 1980"
25,685000,3,2,,"5900 Arlington Ave #16U,Bronx, NY 10471",True,https://www.trulia.com/p/ny/bronx/5900-arlington-ave-16u-bronx-ny-10471--2478323986,ARGO RESIDENTIAL,"NEW - 18 HRS AGO
$685,000
3bd
2ba
5900 Arlington Ave #16U,
Bronx, NY 10471
LISTING BY: ARGO RESIDENTIAL"
26,399000,1,1,1000,"97-11 63rd Dr #E7,Rego Park, NY 11374",True,https://www.trulia.com/p/ny/rego-park/97-11-63rd-dr-e7-rego-park-ny-11374--2478467167,BROWN HARRIS STEVENS FOREST HILLS LLC,"NEW - 18 HRS AGO
© Google
$399,000
1bd
1ba
1,000 sqft
97-11 63rd Dr #E7,
Rego Park, NY 11374
LISTING BY: BROWN HARRIS STEVENS FOREST HILLS LLC"
27,475000,2,2,1200,"555 Kappock St #2L,Bronx, NY 10463",True,https://www.trulia.com/p/ny/bronx/555-kappock-st-2l-bronx-ny-10463--2495328442,COMPASS,"NEW
OPEN SUN, 1:30-2:30PM
$475,000
2bd
2ba
1,200 sqft
555 Kappock St #2L,
Bronx, NY 10463
LISTING BY: COMPASS"
28,1250000,2,2,,"35 Sutton Pl #18F,New York, NY 10022",True,https://www.trulia.com/p/ny/new-york/35-sutton-pl-18f-new-york-ny-10022--2180285790,DOUGLAS ELLIMAN,"NEW - 18 HRS AGO
$1,250,000
2bd
2ba
35 Sutton Pl #18F,
New York, NY 10022
LISTING BY: DOUGLAS ELLIMAN"
29,575000,1,1,739,"133 Beach 116 St #2L,Rockaway Park, NY 11694",True,https://www.trulia.com/p/ny/rockaway-park/133-beach-116-st-2l-rockaway-park-ny-11694--2625412590,DOUGLAS ELLIMAN,"NEW - 18 HRS AGO
$575,000
1bd
1ba
739 sqft
133 Beach 116 St #2L,
Rockaway Park, NY 11694
LISTING BY: DOUGLAS ELLIMAN"
30,1149000,3,3,1440,"524 Beach 138 St,Rockaway Park, NY 11694",True,https://www.trulia.com/p/ny/rockaway-park/524-beach-138-st-rockaway-park-ny-11694--2123717567,BROWN HARRIS STEVENS,"NEW
OPEN SUN, 12-1:15PM
$1,149,000
3bd
3ba
1,440 sqft
524 Beach 138 St,
Rockaway Park, NY 11694
LISTING BY: BROWN HARRIS STEVENS"
